"Source_ID","Category","Document_Title","Organization_or_Vendor","Document_Number","Revision","Publication_Date","Access_Date","Applicable_Section","Applicable_Table_or_Figure","Supported_Requirement_ID","Supported_Claim","Public_Controlled_or_Restricted","Official_URL_or_Local_Reference","Local_File_Path","File_Hash","Review_Status","Reviewer","Review_Date","Notes"
"SR-011","TPS543620 datasheet/model","TPS543620 6-A synchronous buck datasheet","Texas Instruments","SLUSDR5C","Rev C","2021-06","2026-07-23","electrical characteristics; application; layout; thermal","Table 5-1; Tables 7-4/7-5/8-2; Figure 8-30; Equations 6-20","PWR-003;PWR-004;PCB-004;SIM-001","U2 pins, 6 A rating, L/C/feedback, limits and layout guidance","Public","https://www.ti.com/lit/ds/symlink/tps543620.pdf","NOT_ARCHIVED","NOT_ARCHIVED","Confirmed_Official","Codex_metadata_audit","2026-07-28","Evidence_Disposition=VERIFIED; Datasheet source verified; 7 A is only a transient stimulus."
"SR-012","TPS543620 datasheet/model","TPS543620 product page","Texas Instruments","TPS543620","dynamic product record","未找到","2026-07-23","features; tools; package; ordering","whole page","PWR-003;SIM-001","Product lifecycle and model availability","Public","https://www.ti.com/product/TPS543620","NOT_ARCHIVED","NOT_ARCHIVED","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Product page does not replace SLUSDR5C revision control."
"SR-013","TPS543620 datasheet/model","TPS543620 PSpice Transient Model","Texas Instruments","SLUM787A","web Rev A; internal Final 1.1","2024-07","2026-07-23","transient macro-model and limitations","model library/feature PDF","PWR-003;PWR-004;SIM-001;SIM-002","Buck transient model provenance","Public download; vendor license applies","https://www.ti.com/lit/mo/slum787a/slum787a.zip","NOT_INCLUDED_IN_PUBLIC_PACKAGE","ZIP=6D335BA1C367AEED5340D26EC9D954BE63B2A30960C966F0CA5B50B3E54F9C7D; LIB=EDA49ED925B97ABB34C956E87C5DF490AB0EFB605D2C0F7792D67E8CDEC2441F","Confirmed_Official","Codex_metadata_audit","2026-07-28","Evidence_Disposition=VERIFIED; Source/hash verified; 3.109 V recovery failure and runtime limits remain binding."
"SR-014","INA238 datasheet","INA238 digital power monitor datasheet","Texas Instruments","SLYS025B","Rev B","未找到","2026-07-23","pin map; ADC range; calibration; layout","Table 4-1 and register/layout sections","MON-001;PCB-004","U3 pin map, ADCRANGE=1 and shunt range","Public","https://www.ti.com/lit/ds/symlink/ina238.pdf","NOT_ARCHIVED","NOT_ARCHIVED","Confirmed_Official","Codex_metadata_audit","2026-07-28","Evidence_Disposition=VERIFIED; Source revision recorded; calibration and DMM correlation are not measured."
"SR-015","INA238 datasheet","INA238AIDGSR orderable page","Texas Instruments","INA238AIDGSR","dynamic product record","未找到","2026-07-23","features; package; ordering","part-details fields","MON-001","Exact MPN and DGS package","Public","https://www.ti.com/product/INA238/part-details/INA238AIDGSR","NOT_ARCHIVED","NOT_ARCHIVED","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Orderable page does not replace Rev B datasheet."
"SR-016","TMP1075 datasheet","TMP1075 temperature sensor datasheet","Texas Instruments","document number 未找到","revision 未找到","未找到","2026-07-23","pin map; address; accuracy; layout","Table 5-1 and address/register sections","MON-002","U4 pin map, address straps, accuracy and placement semantics","Public","https://www.ti.com/lit/ds/symlink/tmp1075.pdf","NOT_ARCHIVED","NOT_ARCHIVED","Pending_Human_Verification","Codex_metadata_audit","2026-07-28","Evidence_Disposition=OPEN; Repository records only 'current revision at access date'; exact document number/revision must be captured."
"SR-017","TMP1075 datasheet","TMP1075DR orderable page","Texas Instruments","TMP1075DR","dynamic product record","未找到","2026-07-23","features; package; ordering","part-details fields","MON-002","Exact MPN and SOIC-8 package","Public","https://www.ti.com/product/TMP1075/part-details/TMP1075DR","NOT_ARCHIVED","NOT_ARCHIVED","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Board sensor does not measure SSD junction temperature."
"SR-018","Capacitor/inductor/shunt datasheets","WSK2512 four-terminal resistor datasheet","Vishay","30108","revision 未找到","未找到","2026-07-23","electrical specifications; dimensions; ordering","Electrical Specifications; Dimensions; Global Part Numbering","MON-001;PCB-004","5 mOhm four-terminal identity, land pattern, power and TCR review","Public","https://www.vishay.com/docs/30108/wsk2512.pdf","NOT_ARCHIVED","NOT_ARCHIVED","Pending_Human_Verification","Codex_metadata_audit","2026-07-28","Evidence_Disposition=OPEN; Exact datasheet revision/date not recorded; do not treat as fully reviewed."
"SR-019","Capacitor/inductor/shunt datasheets","XGL5050-152 product data","Coilcraft","XGL5050-152","revision 未找到","未找到","2026-07-23","electrical specs; dimensions; terminals","product table","PWR-003;PWR-004;PCB-004","1.5 uH, DCR, Isat, Irms and package candidate","Public","https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xgl/xgl5050/xgl5050-152/","NOT_ARCHIVED","NOT_ARCHIVED","Pending_Human_Verification","Codex_metadata_audit","2026-07-28","Evidence_Disposition=OPEN; Hot inductance, core loss, thermal and exact revision remain open."
"SR-020","Capacitor/inductor/shunt datasheets","C3225X7R1E106K250AC product data","TDK","C3225X7R1E106K250AC","revision 未找到","未找到","2026-07-23","ratings; dimensions; characteristic data","DC-bias characteristic not archived","PWR-003;PCB-004","10 uF/25 V input MLCC candidate","Public","https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3225X7R1E106K250AC","NOT_ARCHIVED","NOT_ARCHIVED","Pending_Human_Verification","Codex_metadata_audit","2026-07-28","Evidence_Disposition=OPEN; Exact revision and 12 V effective-capacitance evidence are missing."
"SR-021","Capacitor/inductor/shunt datasheets","C3225X7R1C226M250AC product data","TDK","C3225X7R1C226M250AC","revision 未找到","未找到","2026-07-23","ratings; dimensions; characteristic data","DC-bias characteristic not archived","PWR-003;PWR-004;PCB-004","22 uF/16 V output MLCC candidate","Public","https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3225X7R1C226M250AC","NOT_ARCHIVED","NOT_ARCHIVED","Pending_Human_Verification","Codex_metadata_audit","2026-07-28","Evidence_Disposition=OPEN; Nominal 88 uF must not be treated as 88 uF effective."
"SR-022","Capacitor/inductor/shunt datasheets","BLM21PG221SN1D product datasheet","Murata","BLM21PG221SN1D","product-search datasheet","2025-08-21","2026-07-23","ratings; dimensions; frequency characteristic","whole product sheet","MON-001;MON-002","Telemetry-rail ferrite candidate","Public","https://www.murata.com/en-eu/api/pdfdownloadapi?cate=cgsubChipFerriBead&partno=BLM21PG221SN1D","NOT_ARCHIVED","NOT_ARCHIVED","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Dynamic product sheet; PI effect and AUX droop not validated."
"SR-023","Capacitor/inductor/shunt datasheets","ADP198 datasheet","Analog Devices","未找到","Rev G","2013-08","2026-07-23","electrical characteristics; reverse current; pin map; package","Table 1; Table 5; CP-8-10 outline","MON-003","Reverse-current-blocking sense path and U5 pin map","Public","https://www.analog.com/media/en/technical-documentation/data-sheets/adp198.pdf","NOT_ARCHIVED","NOT_ARCHIVED","Confirmed_Official","Codex_metadata_audit","2026-07-28","Evidence_Disposition=VERIFIED; Source revision recorded; unpowered reverse-drive bench test not performed."
"SR-024","Capacitor/inductor/shunt datasheets","2N7002 datasheet","Diodes Incorporated","DS11303","Rev 40-2","2024-07","2026-07-23","pin-out; ratings; SOT-23 outline","ordering/package tables","MON-003","Q1 G/S/D mapping and LED buffer limits","Public","https://www.diodes.com/datasheet/download/2N7002.pdf","NOT_ARCHIVED","NOT_ARCHIVED","Confirmed_Official","Codex_metadata_audit","2026-07-28","Evidence_Disposition=VERIFIED; Peripheral source; not release-critical to PCIe channel."
"SR-025","Cadence OrCAD/Allegro/PSpice documentation","PCB Design and Analysis product documentation portal","Cadence","未找到","dynamic portal","未找到","2026-07-23","OrCAD X; PSpice; Allegro capabilities","whole page","CAD-001;SIM-001","Tool capability and native database boundary","Public","https://www.cadence.com/en_US/home/tools/pcb-design-and-analysis.html","NOT_ARCHIVED","NOT_ARCHIVED","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Capability page does not prove this project passed native review."
"SR-026","Cadence OrCAD/Allegro/PSpice documentation","OrCAD X and PSpice FAQ","Cadence","未找到","dynamic FAQ","未找到","2026-07-23","license; PSpice; compatibility","whole page","CAD-001;SIM-001;SIM-002","License/model/database limitations","Public","https://www.cadence.com/en_US/home/tools/pcb-design-and-analysis/orcad/faqs.html","NOT_ARCHIVED","NOT_ARCHIVED","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Dynamic FAQ revision not archived."
"SR-027","Cadence OrCAD/Allegro/PSpice documentation","Integrating a 3D CAD Model Library and OrCAD X / OrCAD X 3D FAQ","Cadence","未找到","2025 article + dynamic FAQ","2025-04-24","2026-07-23","STEP import; Model Mapper; transform; 3D DRC","whole article/FAQ","SYS-002;CAD-001","3DX/STEP workflow and mapping review method","Public","https://resources.pcb.cadence.com/3d-ecad-mcad-and-rigid-flex/2025-integrating-3d-cad-model-library-orcad-x","NOT_ARCHIVED","NOT_ARCHIVED","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Method source only; project evidence must remain native and board-hash-bound."
"SR-028","Cadence OrCAD/Allegro/PSpice documentation","Stage 2 native Capture ERC report","Project-generated by OrCAD Capture 25.1 S040","native ERC report","Stage 2","2026-07-24","2026-07-28","configured Capture electrical/physical rules","7 pages; 61 instances; 0 errors; 0 warnings","CAD-001","Native ERC result with documented limitations","Local project evidence","repository@24d9f51:schematic/orcad/stage2/reports/erc_report.txt","schematic/orcad/stage2/reports/erc_report.txt","F6EBE402CB39A1CB115414544D4AE5A55EF60938BB81B2114DE9309ABBBFE0D3 (Git blob hash)","Confirmed_Official","Codex_metadata_audit","2026-07-28","Evidence_Disposition=VERIFIED; Native report outranks handwritten summary; does not prove compliance."
"SR-029","IPC standards","IPC-2581 intelligent data exchange standard","IPC","exact document number 未找到","exact edition 未找到","未找到","2026-07-28","intelligent manufacturing data exchange","未找到","REL-001","Basis for IPC-2581 export interpretation","Restricted/controlled; metadata not archived","repository mentions IPC-2581-C output only","NOT_INCLUDED_IN_PUBLIC_PACKAGE","NOT_AVAILABLE","Pending_Human_Verification","Codex_metadata_audit","2026-07-28","Evidence_Disposition=BLOCKED; Exact governing standard/edition and review record not found."
"SR-030","IPC standards","IPC-D-356 electrical test/netlist format","IPC","exact document number 未找到","exact revision 未找到","未找到","2026-07-28","bare-board electrical test/netlist","未找到","REL-001","Basis for IPC-356 output interpretation","Restricted/controlled; metadata not archived","repository mentions IPC-356 failed empty output only","NOT_INCLUDED_IN_PUBLIC_PACKAGE","NOT_AVAILABLE","Pending_Human_Verification","Codex_metadata_audit","2026-07-28","Evidence_Disposition=BLOCKED; Output is empty/excluded; exact standard source not registered."
"SR-031","IPC standards","IPC-2152 current-carrying capacity method","IPC","IPC-2152","exact revision 未找到","未找到","2026-07-28","current/temperature-rise method","未找到","PCB-004;PWR-003","Power copper/current-density calculation method","Restricted/controlled; metadata not archived","pcb/constraints.csv token IPC_2152_METHOD","NOT_INCLUDED_IN_PUBLIC_PACKAGE","NOT_AVAILABLE","Pending_Human_Verification","Codex_metadata_audit","2026-07-28","Evidence_Disposition=BLOCKED; Referenced by constraint strategy but exact edition/source review is absent."
"SR-032","JLCPCB stack-up/calculator","User Guide to the JLCPCB Impedance Calculator","JLCPCB","未找到","dynamic process guide","未找到","2026-07-23","calculator inputs and material/stack-up mapping","whole page","PCB-002;PCB-003","Process for deriving width/gap from actual stack-up","Public","https://jlcpcb.com/help/article/user-guide-to-the-jlcpcb-impedance-calculator","NOT_ARCHIVED","NOT_ARCHIVED","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Guide exists; current quote/calculator output is not archived."
"SR-033","JLCPCB stack-up/calculator","Multi-layer PCB standard laminated structures","JLCPCB","未找到","dynamic manufacturing data","未找到","2026-07-23","6-layer/1.6 mm candidate structures","6-layer candidates","PCB-001;PCB-002","Candidate six-layer stack-up availability","Public","https://jlcpcb.com/help/article/multi-layer-pcb-standard-laminated-structures","NOT_ARCHIVED","NOT_ARCHIVED","Pending_Fabricator_Confirmation","Codex_metadata_audit","2026-07-28","Evidence_Disposition=BLOCKED; Dynamic candidate is not a frozen order cross-section."
"SR-034","JLCPCB stack-up/calculator","Controlled Impedance PCB Parameters and Stackup","JLCPCB","未找到","dynamic manufacturing page","未找到","2026-07-23","material/copper/testing assumptions","calculator/process notes","PCB-002;PCB-003","Fabricator workflow and assumptions","Public","https://jlcpcb.com/impedance","NOT_ARCHIVED","NOT_ARCHIVED","Pending_Fabricator_Confirmation","Codex_metadata_audit","2026-07-28","Evidence_Disposition=BLOCKED; Actual order stack-up, target geometry and written confirmation absent."
"SR-035","Connector drawings","MDT420M01501 controlled drawing","Amphenol Communications Solutions","CMDT420X01501","Rev A","2021-11-19","2026-07-24","pad; hold-down; datum; seating; keepout","4-page drawing","SYS-002;PCB-003","Exact J2 mechanical/land-pattern source","Public vendor drawing","https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/cmdt420x01501.pdf","evidence/official_sources/Amphenol_MDT420M01501_Controlled_Drawing_RevA.pdf","53319C6F88C261445C294383F884524B50791ECEE759F8B63848D76522A823D4 (manifest-recorded; file absent in public package)","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Source metadata/hash recorded but file is missing from public package; overlay/1:1 check remains open."
"SR-036","Connector drawings","PCIe M.2 Gen5 connector family datasheet","Amphenol Communications Solutions","未找到","revision 未找到","未找到","2026-07-24","family selection and mechanical overview","product selection tables","SYS-002","Connector family/key/height/data-rate screening","Public","https://www.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/ssio/ssio_pcie_m2.pdf","evidence/official_sources/Amphenol_PCIe_M2_Gen5_Datasheet.pdf","E303EAD10F8BFA1A02F4DC243E6F674EDE09F7BA2028AEE1D532265900167F59 (manifest-recorded; file absent in public package)","Pending_Human_Verification","Codex_metadata_audit","2026-07-28","Evidence_Disposition=OPEN; Exact revision not recorded; family sheet does not replace exact drawing or M.2 pin spec."
"SR-037","Connector drawings","MDT320M01001 backup connector / family drawing","Amphenol Communications Solutions","MDTXXXXXX001","revision 未找到","未找到","2026-07-23","backup connector dimensions","generic family drawing","SYS-002","Mechanical backup candidate","Public","https://www.amphenol-cs.com/product/mdt320m01001.html","NOT_ARCHIVED","NOT_ARCHIVED","Pending_Human_Verification","Codex_metadata_audit","2026-07-28","Evidence_Disposition=OPEN; Exact suffix applicability and 1.0 mm stack-height difference not approved."
"SR-038","Mechanical models","MDT420M01501 official STEP model","Amphenol Communications Solutions","smdt420m01501_c3d","vendor revision unstated","未找到","2026-07-24","exact connector assembly body","AP214; mm","SYS-002;PCB-003","Exact J2 model availability","Vendor model; public product page/login conditions","https://www.amphenol-cs.com/product/mdt420m01501.html","pcb/3d_models/amphenol_mdt420m01501_vendor-c3d-rev-unstated_2026-07-24.stp","F5427DE4C21FD8C98D0425E09D63247DC632733ACE2211E52F6E282C68F593CD","Confirmed_Official","Codex_metadata_audit","2026-07-28","Evidence_Disposition=VERIFIED; File/hash verified; transform and collision sign-off remain preliminary."
"SR-039","Mechanical models","WSK2512 vendor STEP model","Vishay","30323","revision unstated","未找到","2026-07-25","four-terminal shunt body","STEP geometry","MON-001;PCB-004","Shunt mechanical body for 3DX","Vendor model","local vendor model reference","pcb/3d_models/vishay_wsk2512_0p005_to_0p2_vendor_30323_2026-07-25.stp","5DB533DD5423847B51D33E38AAE9731AD1C178A526C6B0A4E40B933719442BF3","Confirmed_Official","Codex_metadata_audit","2026-07-28","Evidence_Disposition=VERIFIED; Mechanical model does not validate land pattern, power or thermal behavior."
"SR-040","Mechanical models","Stage 3 generated model manifest","Project engineering model generator","internal manifest","RevK candidate","2026-07-25","2026-07-28","package/envelope dimensions and hashes","all generated STEP entries","SYS-002;PCB-004","Traceability for package-level and engineering-envelope models","Local engineering evidence","repository@24d9f51:pcb/3d_models/stage3/stage3_generated_model_manifest.json","pcb/3d_models/stage3/stage3_generated_model_manifest.json","8A7E8431B6029620655EE5EC8AA3888AA791AF129478142F8A0A371A6DFDB638","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Most generated models are Engineering_Assumption; not collision-release evidence."
"SR-041","Mechanical models","Exact SSD/standoff/bracket/cable/chassis CAD set","Multiple vendors / host mechanical owner","未找到","未找到","未找到","2026-07-28","full assembly collision context","3D-01 through 3D-08","SYS-002;SYS-003","Release-grade collision and chassis compatibility","Controlled/restricted where applicable","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","Pending_Human_Verification","Codex_metadata_audit","2026-07-28","Evidence_Disposition=BLOCKED; Exact context models not found; do not claim chassis compatibility."
"SR-042","SSD reference devices","WD Black SN750 1 TB product brief","Western Digital","02-05-WW-04-00054-A06","A06","2021-09-01","2026-07-24","form factor; dimensions; interface; peak current","WDS100T3X0C product table","SYS-002;PWR-005","Reference SSD identity: Gen3 x4, M.2 2280, 2.38 mm, 2.8 A/10 us","Public","official vendor brief recorded in project baseline","evidence/official_sources/WD_BLACK_SN750_Product_Brief_en_us.pdf","8852578D4BB9B0107F27810EC067B8B5C6B78250453540B6F09315751BC4CC03 (manifest-recorded; file absent in public package)","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Reference device only; not bench-qualified or supported."
"SR-043","SSD reference devices","Supported SSD matrix","Project","internal evidence","RevK candidate","2026-07-24","2026-07-28","candidate disposition and exclusion reason","single WD-SN750 candidate row","PWR-005;VAL-002","No supported SSD claim because recovery minimum is 3.109 V","Local engineering evidence","repository@24d9f51:validation/supported_ssd_matrix.csv","validation/supported_ssd_matrix.csv","5ADCF934C9F580D8D73BBA47866857B89F4AF19624204342A614DDFFC42D1C4D","Confirmed_Official","Codex_metadata_audit","2026-07-28","Evidence_Disposition=VERIFIED; Evidence correctly leaves candidate unqualified."
"SR-044","SI/PI/layout references","Project constraint strategy","Project","internal CSV","RevK candidate","2026-07-25","2026-07-28","pair classes; reference layers; return-path rules; power/Kelvin intent","19 constraint rows","PCB-002;PCB-003;PCB-004","Documents constraint intent without fabricated impedance values","Local engineering evidence","repository@24d9f51:pcb/constraints.csv","pcb/constraints.csv","7B551C14FB1E4C940CC190FF75D1B71F78B1430ECEDD38A5E35837AE1D32680F","Engineering_Assumption","Codex_metadata_audit","2026-07-28","Evidence_Disposition=PRELIMINARY; Internal strategy is not a governing SI/PI source or native sign-off."
"SR-045","SI/PI/layout references","TPS543620 layout guidance","Texas Instruments","SLUSDR5C","Rev C","2021-06","2026-07-23","power-stage placement, hot loop and switch node","Section 8; Figure 8-30","PCB-004","Buck hot-loop and switch-node layout method","Public","https://www.ti.com/lit/ds/symlink/tps543620.pdf","NOT_ARCHIVED","NOT_ARCHIVED","Confirmed_Official","Codex_metadata_audit","2026-07-28","Evidence_Disposition=VERIFIED; Supports local power layout review only; not board-level PI sign-off."
"SR-046","SI/PI/layout references","Governing PCIe channel / SI reference set","PCI-SIG / fabricator / SI tool owner","未找到","未找到","未找到","2026-07-28","impedance; insertion loss; return loss; skew; via transitions","未找到","IF-002;PCB-002;PCB-003","Release-grade high-speed constraint and SI acceptance criteria","Controlled/restricted","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","Pending_Human_Verification","Codex_metadata_audit","2026-07-28","Evidence_Disposition=BLOCKED; No controlled channel budget or SI sign-off source found; DRC=0 cannot be interpreted as SI pass."
