Artifact,Path,Size_Bytes,SHA256,Source_Path,Source_SHA256,Status,Stage_State,Notes
TPS543620_820us_Window_Metrics,evidence/stage2/pspice/st02_vendor_820us_run/st02_vendor_window_metrics.csv,1144,D37511807CEC4408CF9BCE596A6896ED25ED998CE9CE30C4E994ECF79C755CC4,pspice/stage2/st02_buck_startup_820us.csd,5717F3930585611E06916705B8D79860798029E2AC4135FE0C45F6B8F1434BA5,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,780 to 820 us partial-startup window metrics
TPS543620_Combined_Input,pspice/stage2/pw01_buck_combined_1400us.cir,548,9C39F1FF50CBCB58371895B35A517710CEDEA80CE4EBB285E64D6C5E1682224A,,,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Combined startup and load-profile batch input
TPS543620_Combined_Output,pspice/stage2/pw01_buck_combined_1400us.out,3239,C0D6C76949B74518E8609B9E15B75F3BCA8EE3F8B211522E75085B260FCF2FE6,pspice/stage2/pw01_buck_combined_1400us.cir,9C39F1FF50CBCB58371895B35A517710CEDEA80CE4EBB285E64D6C5E1682224A,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Concluded official-model combined profile output
TPS543620_Combined_CSDF,pspice/stage2/pw01_buck_combined_1400us.csd,110041485,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E,pspice/stage2/pw01_buck_combined_1400us.cir,9C39F1FF50CBCB58371895B35A517710CEDEA80CE4EBB285E64D6C5E1682224A,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Raw official-model combined profile CSDF
TPS543620_Combined_Overall_Metrics,evidence/stage2/pspice/pw01_vendor_combined_run/pw01_overall_metrics.csv,1097,E160E8F06CC91D181BDCAB732A297C9D54AA96D0CDEF92522DBB88B1B8AFDB9D,pspice/stage2/pw01_buck_combined_1400us.csd,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Combined-profile overall CSDF metrics
TPS543620_Combined_Window_Metrics,evidence/stage2/pspice/pw01_vendor_combined_run/pw01_window_metrics.csv,5265,9DDA88AD5C82C945AA0F89F5C4309618D33D4F4DE6927CB079F4C6EA43DFB6C9,pspice/stage2/pw01_buck_combined_1400us.csd,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Named load-window CSDF metrics
TPS543620_Combined_Run_Record,evidence/stage2/pspice/pw01_vendor_combined_run/run_record.md,1474,CC6C012071638E6F6D6C249E778A8AE9941F04EE9C1334D83E707E557511D164,pspice/stage2/pw01_buck_combined_1400us.csd,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Hash-locked profile results and retained recovery failure
TPS543620_Recovery_Diagnostics,evidence/stage2/pspice/pw01_vendor_combined_run/pw01_recovery_diagnostics.csv,6627,228FE5DAF1FB6BF6EF4B4C978BF64F34CEF8AC6C42C516EE724E53F2AE483AE9,pspice/stage2/pw01_buck_combined_1400us.csd,DD1F99E1487013285DC6D71F0F4B169B3DB1F7852E26799F85DD2C6F9E55141E,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Recovery-window diagnostic metrics for the 5 percent failure
PSpice_Profile_Results,pspice/stage2/profile_results.csv,2465,C04B65B0FAEFAF238FCA0621098ECBA062D29ABF88F057E0BC4BFCCBC80E1B2F,,,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Canonical profile dispositions including retained failures
LT03_Charge_Deficit_Summary,evidence/stage2/batch/lt03_charge_deficit_summary.csv,1217,7646CE54A919275DDD508263416B459E41B6EB4D7CE2FB61D713CB48839FFCFF,,,Simulated,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Six-case conservative screen; not a vendor macro-model result
Stage2_Allegro_Board,pcb/allegro/stage2/pcie_gen3_x4_nvme_adapter_reva_stage2.brd,1841208,00B99D9C4D503E44F441D83E0C2E13A717A8EC76EA6AA171C8D01167D9FD10E2,,,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Native six-layer 61-component placed/unrouted board
Allegro_DBStat_Log,evidence/stage2/batch/stage2_final_dbstat.txt,256,1BF8F36DC6A2EC76115EBF4C560034726086E37C318282056B1341F9150BC332,pcb/allegro/stage2/pcie_gen3_x4_nvme_adapter_reva_stage2.brd,00B99D9C4D503E44F441D83E0C2E13A717A8EC76EA6AA171C8D01167D9FD10E2,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,OrCAD 25.1 native board reopen proof
Allegro_Placement_Audit,evidence/stage2/batch/stage2_placed_reopen_audit.txt,6123,CCD25D9C13299F21A7264348A8BE478D16F679752826809BFD85363329986C4E,pcb/allegro/stage2/pcie_gen3_x4_nvme_adapter_reva_stage2.brd,00B99D9C4D503E44F441D83E0C2E13A717A8EC76EA6AA171C8D01167D9FD10E2,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,"Placement, layer, thickness and no-cline readback"
Allegro_Component_Report,pcb/allegro/stage2/reports/component_report.csv,6014,329F81452D083C092D7B7EE616106CCCF52C6FED6836C89B426412AB8DA0E730,pcb/allegro/stage2/pcie_gen3_x4_nvme_adapter_reva_stage2.brd,00B99D9C4D503E44F441D83E0C2E13A717A8EC76EA6AA171C8D01167D9FD10E2,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,61-component placement and inside-board report
Allegro_Constraint_Report,pcb/allegro/stage2/reports/constraint_report.txt,1748,710D862AFD3CA13BA569CBD61C8E7D8B26BEC55CDDBCDDF0C09128153480F530,pcb/allegro/stage2/pcie_gen3_x4_nvme_adapter_reva_stage2.brd,00B99D9C4D503E44F441D83E0C2E13A717A8EC76EA6AA171C8D01167D9FD10E2,Pending_Fabricator_Confirmation,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Pair documentation groups and functional net classes
Allegro_Unconnected_Report,pcb/allegro/stage2/reports/unconnected_report.txt,1025,B90660572E3EFFEB6E5279CEB0BB6C88A8F42842B8EBF1182EF3B317208F6F1D,pcb/allegro/stage2/pcie_gen3_x4_nvme_adapter_reva_stage2.brd,00B99D9C4D503E44F441D83E0C2E13A717A8EC76EA6AA171C8D01167D9FD10E2,Planned,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Expected placed/unrouted connectivity baseline
MDT420_Official_STEP,pcb/3d_models/amphenol_mdt420m01501_vendor-c3d-rev-unstated_2026-07-24.stp,2219066,F5427DE4C21FD8C98D0425E09D63247DC632733ACE2211E52F6E282C68F593CD,,,Confirmed_Official,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Amphenol product-page AP214 STEP
MDT420_STEP_Assignment_Log,evidence/stage2/3d/mdt420m01501_step_assignment.log,612,05BF422A0D623560EDB6ADA3EE769E9CB90426FBE4EBEFB9F1D737D9C3E78CFB,pcb/3d_models/amphenol_mdt420m01501_vendor-c3d-rev-unstated_2026-07-24.stp,F5427DE4C21FD8C98D0425E09D63247DC632733ACE2211E52F6E282C68F593CD,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Isolated axlStepSet and axlStepGet assignment readback
Stage2_3DX_Manifest,evidence/stage2/3d/stage2_3dx_manifest.csv,4357,5F31440F2D8C69B35BE5DA1FFE1669F7A45BB76FAE068BA32A91FB0050FB608B,pcb/allegro/stage2/pcie_gen3_x4_nvme_adapter_reva_stage2.brd,00B99D9C4D503E44F441D83E0C2E13A717A8EC76EA6AA171C8D01167D9FD10E2,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Twelve native 3DX views hash-locked to the current placed/unrouted board
Stage2_3DX_Export_Record,evidence/stage2/3d/stage2_3dx_export_record.md,2238,13E4F3B213215E5510CA6C2E9C8EBDE3B99AA7A33B43E0605FF84839566D9B04,pcb/allegro/stage2/pcie_gen3_x4_nvme_adapter_reva_stage2.brd,00B99D9C4D503E44F441D83E0C2E13A717A8EC76EA6AA171C8D01167D9FD10E2,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,"Native 3DX model-mapping, export options, STEP identity and limitations"
Stage2_Assembly_STEP,manufacturing/mcad/pcie_gen3_x4_nvme_adapter_reva_stage2_preliminary.step,2003210,1BFA9185348C08A4B5C9C8844348D54F96B1D969FDA06E6507E2454F524EA738,pcb/allegro/stage2/pcie_gen3_x4_nvme_adapter_reva_stage2.brd,00B99D9C4D503E44F441D83E0C2E13A717A8EC76EA6AA171C8D01167D9FD10E2,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Millimetre placed/unrouted assembly STEP with 115 closed solids
Stage2_STEP_Roundtrip,evidence/stage2/3d/stage2_step_roundtrip.csv,1408,84F2A974439C5F2C706B91ED7E3E3DE9FA89E6B840EA0D0C5E6AD73A102BFC7B,manufacturing/mcad/pcie_gen3_x4_nvme_adapter_reva_stage2_preliminary.step,1BFA9185348C08A4B5C9C8844348D54F96B1D969FDA06E6507E2454F524EA738,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Isolated 3DX re-import and alignment disposition
Stage2_STEP_Roundtrip_Evidence,evidence/stage2/3d/roundtrip/stage2_step_reimport_3dx.jpg,85832,79884A4CEFAEF97A304D12995583CFA5BC2D77457BDCA0C7C518397829075355,manufacturing/mcad/pcie_gen3_x4_nvme_adapter_reva_stage2_preliminary.step,1BFA9185348C08A4B5C9C8844348D54F96B1D969FDA06E6507E2454F524EA738,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Native 3DX view of the re-imported assembly overlay
Stage2_3DX_License_Incident_Record,evidence/stage2/3d/INTERACTIVE_LICENSE_BLOCKER.md,1286,E3AE2D5181CE1052D0A1EED0DE49E4939F58DF7A4C29C43D796F635257FEA058,,,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Historical OnCloud incident and successful native 3DX retry
Stage2_Collision_Results,evidence/stage2/3d/stage2_collision_results.csv,2744,8E46574AC6DDD5057E51F839A5423B559E2BE321F013E9A4DA50AAB289EA142C,,,Pending_Human_Verification,Stage 2 - Placed / Unrouted / Digital Mechanical Review,All eight cases retain honest Preliminary_Clear or blocked dispositions
Stage2_Delivery_Status,stage2/delivery_status.csv,3959,8D1F038351A9A26BD69BD78B646A61FAA96B1D8FE7505964F80AA65518E0E43B,,,Engineering_Assumption,Stage 2 - Placed / Unrouted / Digital Mechanical Review,Current batch-first delivery state and prohibited claims
